univ_id,univ_name_raw,univ_name_std,campus_id,campus_name_std,adiga_univ_code,adiga_label,target_institution_flag,branch_status,crawl_priority,manual_review_required,seed_note
U0002712,신한대학교,신한대학교,2712,신한대학교[본교],0002712,신한대학교[본교],True,manual_resolved,9999,False,"캠퍼스 신호 없는 학교명 -> [본교] 우선 원칙 적용, 사람 확인"
U0000147,안양대학교,안양대학교,147,안양대학교[본교],0000147,안양대학교[본교],True,manual_resolved,9999,False,"캠퍼스 신호 없는 학교명 -> [본교] 우선 원칙 적용, 사람 확인"
U0000218,예원예술대학교,예원예술대학교,218,예원예술대학교[본교],0000218,예원예술대학교[본교],True,manual_resolved,9999,False,"캠퍼스 신호 없는 학교명 -> [본교] 우선 원칙 적용, 사람 확인"
U0000161,을지대학교,을지대학교,161,을지대학교[본교],0000161,을지대학교[본교],True,manual_resolved,9999,False,"캠퍼스 신호 없는 학교명 -> [본교] 우선 원칙 적용, 사람 확인"
U0000168,인천가톨릭대학교,인천가톨릭대학교,168,인천가톨릭대학교[본교],0000168,인천가톨릭대학교[본교],True,manual_resolved,9999,False,"캠퍼스 신호 없는 학교명 -> [본교] 우선 원칙 적용, 사람 확인"
U0000236,영산대학교(해운대),영산대학교(해운대),236,영산대학교[본교],0000236,영산대학교[본교],True,manual_resolved,9999,False,"영산대(양산)_제2캠퍼스가 이미 0000237[제2캠퍼스]로 확정됐으므로 잔여 코드 0000236[본교]를 해운대로 배정, 사람 확인"
U0000256,경인교육대학교,경인교육대학교,256,경인교육대학교[본교],0000256,경인교육대학교[본교],True,manual_resolved,9999,False,"단일 후보, 대학명 본체 일치(재확정)"
U0000021,국립경국대학교,국립경국대학교,21,국립안동대학교[본교],0000021,국립안동대학교[본교],True,manual_resolved,9999,False,"2025.3 국립안동대+경북도립대 통합으로 개칭 — 2024학년도 정시 결과는 개칭 전 '국립안동대학교' 코드에 게시됨 (웹검색으로 확인), 사람 확인"
U0000019,서울대,서울대학교,0000019,본교/미구분,0000019,서울대학교[본교],True,main,1,False,
U0000149,연세대,연세대학교,0000149,본교/미구분,0000149,연세대학교[본교],True,main,2,False,
U0000069,고려대,고려대학교,0000069,본교/미구분,0000069,고려대학교[본교],True,main,3,False,
U0000133,성균관대,성균관대학교,0000133,본교/미구분,0000133,성균관대학교[본교],True,main,4,False,
U0000203,한양대,한양대학교,0000203,본교/미구분,0000203,한양대학교[본교],True,main,5,False,
U0000120,서강대,서강대학교,0000120,본교/미구분,0000120,서강대학교[본교],True,main,6,False,
U0000175,중앙대,중앙대학교,0000175,본교/미구분,0000175,중앙대학교[본교],True,main,7,False,
U0000163,이화여대,이화여자대학교,0000163,본교/미구분,0000163,이화여자대학교[본교],True,main,8,False,
U0000040,시립대,서울시립대학교,0000040,본교/미구분,0000040,서울시립대학교[본교],True,main,9,False,
U0000066,경희대,경희대학교,0000066,본교/미구분,0000066,경희대학교[본교],True,main,10,False,
U0000052,건국대,건국대학교,0000052,본교/미구분,0000052,건국대학교[본교],True,main,11,False,
U0000192,한국외대,한국외국어대학교,0000192,본교/미구분,0000192,한국외국어대학교[본교],True,main,12,False,
U0000100,동국대,동국대학교,0000100,본교/미구분,0000100,동국대학교[본교],True,main,13,False,
U0000212,홍익대,홍익대학교,0000212,본교/미구분,0000212,홍익대학교[본교],True,main,14,False,
U0000143,숭실대,숭실대학교,0000143,본교/미구분,0000143,숭실대학교[본교],True,main,15,False,
U0000141,숙명여대,숙명여자대학교,0000141,본교/미구분,0000141,숙명여자대학교[본교],True,main,16,False,
U0000078,국민대,국민대학교,0000078,본교/미구분,0000078,국민대학교[본교],True,main,17,False,
U0000014,부산대,부산대학교,0000014,본교/미구분,0000014,부산대학교[본교],True,main,18,False,
U0000138,세종대,세종대학교,0000138,본교/미구분,0000138,세종대학교[본교],True,main,19,False,
U0000146,아주대,아주대학교,0000146,본교/미구분,0000146,아주대학교[본교],True,main,20,False,
U0000036,서울과기대,서울과학기술대학교,0000036,본교/미구분,0000036,서울과학기술대학교[본교],True,main,21,False,
U0000005,경북대,경북대학교,0000005,본교/미구분,0000005,경북대학교[본교],True,main,22,False,
U0000169,인하대,인하대학교,0000169,본교/미구분,0000169,인하대학교[본교],True,main,23,False,
U0000136,성신여대,성신여자대학교,0000136,본교/미구분,0000136,성신여자대학교[본교],True,main,24,False,
U0000082,단국대,단국대학교,0000082_죽전,죽전,0000082,단국대학교[본교],True,main,25,False,
U0000074,광운대,광운대학교,0000074,본교/미구분,0000074,광운대학교[본교],True,main,26,False,
U0000194,항공대,한국항공대학교,0000194,본교/미구분,0000194,한국항공대학교[본교],True,main,27,False,
U0000117,상명대,상명대학교,0000117,본교/미구분,0000117,상명대학교[본교],True,main,29,False,
U0000046,가톨릭대,가톨릭대학교,0000046,본교/미구분,0000046,가톨릭대학교[본교],True,main,30,False,
U0000109,명지대,명지대학교,0000109,본교/미구분,0000109,명지대학교[본교],True,main,31,False,
U0000023,전남대,전남대학교,0000023,본교/미구분,0000023,전남대학교[본교],True,main,32,False,
U0002660,인천대,인천대학교,0002660,본교/미구분,0002660,인천대학교[본교],True,main,33,False,
U0000063,가천대,가천대학교,0000063,본교/미구분,0000063,가천대학교[본교],True,main,34,False,
U0000099,덕성여대,덕성여자대학교,0000099,본교/미구분,0000099,덕성여자대학교[본교],True,main,35,False,
U0000102,동덕여대,동덕여자대학교,0000102,본교/미구분,0000102,동덕여자대학교[본교],True,main,36,False,
U0000056,경기대,경기대학교,0000056,본교/미구분,0000056,경기대학교[본교],True,main,37,False,
U0000126,서울여대,서울여자대학교,0000126,본교/미구분,0000126,서울여자대학교[본교],True,main,39,False,
U0000029,충남대,충남대학교,0000029,본교/미구분,0000029,충남대학교[본교],True,main,40,False,
U0000200,한성대,한성대학교,0000200,본교/미구분,0000200,한성대학교[본교],True,main,41,False,
U0000030,충북대,충북대학교,0000030,본교/미구분,0000030,충북대학교[본교],True,main,42,False,
U0000116,삼육대,삼육대학교,0000116,본교/미구분,0000116,삼육대학교[본교],True,main,43,False,
U0000121,서경대,서경대학교,0000121,본교/미구분,0000121,서경대학교[본교],True,main,44,False,
U0000025,전북대,전북대학교,0000025,본교/미구분,0000025,전북대학교[본교],True,main,46,False,
U0000003,강원대,강원대학교,0000003,본교/미구분,0000003,강원대학교[본교],True,main,48,False,
U0000140,수원대,수원대학교,0000140,본교/미구분,0000140,수원대학교[본교],True,main,51,False,
U0000247,한국공대,한국공학대학교,0000247,본교/미구분,0000247,한국공학대학교[본교],True,main,52,False,
